v8-version,6,2,414,78,0
shared-library,"/home/maumercado/.nvm/versions/node/v8.17.0/bin/node",0x00400000,0x01f73000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libc-2.31.so",0x7f9a6a8de000,0x7f9a6aa56000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libpthread-2.31.so",0x7f9a6aab4000,0x7f9a6aac5000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7f9a6aad3000,0x7f9a6aae5000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libm-2.31.so",0x7f9a6aafa000,0x7f9a6aba1000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28",0x7f9a6acd0000,0x7f9a6adc0000,0
shared-library,"/usr/lib/x86_64-linux-gnu/librt-2.31.so",0x7f9a6ae1e000,0x7f9a6ae22000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libdl-2.31.so",0x7f9a6ae27000,0x7f9a6ae29000,0
shared-library,"/usr/lib/x86_64-linux-gnu/ld-2.31.so",0x7f9a6ae36000,0x7f9a6ae59000,0
shared-library,"[vdso]",0x7ffdc2372000,0x7ffdc2373000,0
profiler,"begin",1000
tick,0x7f9a6aac03f4,1744,0,0x0,4
tick,0x12d5a46,1914,0,0x0,4
tick,0x106a6a8,2990,0,0x0,4
tick,0x7f9a6a977f1e,4045,0,0x0,4
code-creation,Stub,3,4422,0x20a55c204060,234,"JSEntryStub"
code-creation,Builtin,5,4428,0x20a55c2041c0,128,"JSEntryTrampoline"
code-creation,Stub,3,4429,0x20a55c2042a0,286,"CEntryStub"
code-creation,Builtin,5,4430,0x20a55c204420,123,"Call_ReceiverIsAny"
code-creation,Builtin,5,4431,0x20a55c204500,295,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,4431,0x20a55c2046a0,351,"ToObject"
code-creation,Stub,3,4432,0x20a55c204860,2084,"RecordWriteStub"
code-creation,Stub,3,4433,0x20a55c205100,292,"StoreBufferOverflowStub"
code-creation,Builtin,5,4434,0x20a55c2052a0,239,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,4435,0x20a55c205400,139,"CallBoundFunction"
code-creation,Builtin,5,4435,0x20a55c205500,548,"CallProxy"
code-creation,Stub,3,4436,0x20a55c2057a0,1693,"GetPropertyStub"
code-creation,Builtin,5,4437,0x20a55c205ea0,270,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,4438,0x20a55c206020,234,"JSEntryStub"
code-creation,Builtin,5,4438,0x20a55c206180,128,"JSConstructEntryTrampoline"
code-creation,Builtin,5,4439,0x20a55c206260,77,"Construct"
code-creation,Builtin,5,4440,0x20a55c206320,18,"ConstructFunction"
code-creation,Builtin,5,4441,0x20a55c2063a0,139,"ConstructBoundFunction"
code-creation,Builtin,5,4442,0x20a55c2064a0,624,"ConstructProxy"
code-creation,Builtin,5,4442,0x20a55c206780,43,"ConstructedNonConstructable"
code-creation,Builtin,5,4443,0x20a55c206820,15,"EmptyFunction"
code-creation,Builtin,5,4444,0x20a55c2068a0,28,"AdaptorWithBuiltinExitFrame"
code-creation,Stub,3,4445,0x20a55c206920,286,"CEntryStub"
code-creation,Builtin,5,4445,0x20a55c206aa0,615,"CompileLazy"
