v8-version,6,8,275,32,-node.58,0
shared-library,/home/maumercado/.nvm/versions/node/v10.22.0/bin/node,0x400000,0x244d000,0
shared-library,/usr/lib/x86_64-linux-gnu/libc-2.31.so,0x7fdfc8b23000,0x7fdfc8cc0000,0
shared-library,/usr/lib/x86_64-linux-gnu/libpthread-2.31.so,0x7fdfc8d17000,0x7fdfc8d2f000,0
shared-library,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7fdfc8d3a000,0x7fdfc8d4f000,0
shared-library,/usr/lib/x86_64-linux-gnu/libm-2.31.so,0x7fdfc8d55000,0x7fdfc8e0b000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28,0x7fdfc8ea4000,0x7fdfc902a000,0
shared-library,/usr/lib/x86_64-linux-gnu/librt-2.31.so,0x7fdfc9085000,0x7fdfc908c000,0
shared-library,/usr/lib/x86_64-linux-gnu/libdl-2.31.so,0x7fdfc9090000,0x7fdfc9093000,0
shared-library,/usr/lib/x86_64-linux-gnu/ld-2.31.so,0x7fdfc909f000,0x7fdfc90c3000,0
shared-library,[vdso],0x7fffbdd9d000,0x7fffbdd9e000,0
profiler,begin,1000
tick,0x11ec414,1152,0,0x0,6
code-creation,Builtin,3,1664,0x1c7fadf09e80,1396,RecordWrite
code-creation,Builtin,3,1679,0x1c7fadf0a440,32,AdaptorWithExitFrame
code-creation,Builtin,3,1684,0x1c7fadf0a4a0,32,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1688,0x1c7fadf0a500,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1693,0x1c7fadf0a640,205,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1699,0x1c7fadf0a760,274,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1704,0x1c7fadf0a8c0,299,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1709,0x1c7fadf0aa40,139,CallBoundFunction
code-creation,Builtin,3,1713,0x1c7fadf0ab20,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1718,0x1c7fadf0abe0,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1723,0x1c7fadf0aca0,120,Call_ReceiverIsAny
code-creation,Builtin,3,1728,0x1c7fadf0ad60,1008,CallProxy
code-creation,Builtin,3,1732,0x1c7fadf0b1a0,81,CallVarargs
code-creation,Builtin,3,1737,0x1c7fadf0b240,1380,CallWithSpread
code-creation,Builtin,3,1744,0x1c7fadf0b800,1360,CallWithArrayLike
code-creation,Builtin,3,1749,0x1c7fadf0bda0,102,CallForwardVarargs
code-creation,Builtin,3,1753,0x1c7fadf0be60,102,CallFunctionForwardVarargs
code-creation,Builtin,3,1758,0x1c7fadf0bf20,26,ConstructFunction
code-creation,Builtin,3,1762,0x1c7fadf0bf80,139,ConstructBoundFunction
code-creation,Builtin,3,1767,0x1c7fadf0c060,43,ConstructedNonConstructable
code-creation,Builtin,3,1771,0x1c7fadf0c0e0,86,Construct
code-creation,Builtin,3,1775,0x1c7fadf0c180,81,ConstructVarargs
code-creation,Builtin,3,1780,0x1c7fadf0c220,1396,ConstructWithSpread
code-creation,Builtin,3,1785,0x1c7fadf0c7e0,1432,ConstructWithArrayLike
code-creation,Builtin,3,1789,0x1c7fadf0cdc0,156,ConstructForwardVarargs
code-creation,Builtin,3,1794,0x1c7fadf0cea0,156,ConstructFunctionForwardVarargs
code-creation,Builtin,3,1799,0x1c7fadf0cf80,250,JSConstructStubGeneric
code-creation,Builtin,3,1803,0x1c7fadf0d0c0,169,JSBuiltinsConstructStub
code-creation,Builtin,3,1808,0x1c7fadf0d1c0,721,FastNewObject
code-creation,Builtin,3,1812,0x1c7fadf0d4e0,355,FastNewClosure
code-creation,Builtin,3,1817,0x1c7fadf0d6a0,251,FastNewFunctionContextEval
code-creation,Builtin,3,1821,0x1c7fadf0d7e0,247,FastNewFunctionContextFunction
code-creation,Builtin,3,1826,0x1c7fadf0d920,246,CreateRegExpLiteral
code-creation,Builtin,3,1831,0x1c7fadf0da60,650,CreateEmptyArrayLiteral
code-creation,Builtin,3,1836,0x1c7fadf0dd40,1540,CreateShallowArrayLiteral
code-creation,Builtin,3,1842,0x1c7fadf0e3a0,1484,CreateShallowObjectLiteral
code-creation,Builtin,3,1847,0x1c7fadf0e9c0,1004,ConstructProxy
code-creation,Builtin,3,1851,0x1c7fadf0ee00,122,JSEntryTrampoline
code-creation,Builtin,3,1855,0x1c7fadf0eec0,122,JSConstructEntryTrampoline
code-creation,Builtin,3,1860,0x1c7fadf0ef80,326,ResumeGeneratorTrampoline
code-creation,Builtin,3,1865,0x1c7fadf0f120,17,InterruptCheck
code-creation,Builtin,3,1869,0x1c7fadf0f180,17,StackCheck
code-creation,Builtin,3,1873,0x1c7fadf0f1e0,727,StringCharAt
code-creation,Builtin,3,1877,0x1c7fadf0f500,838,StringCodePointAtUTF16
code-creation,Builtin,3,1882,0x1c7fadf0f8a0,846,StringCodePointAtUTF32
code-creation,Builtin,3,1886,0x1c7fadf0fc40,592,StringEqual
code-creation,Builtin,3,1899,0x1c7fadf0fee0,272,StringGreaterThan
code-creation,Builtin,3,1904,0x1c7fadf10040,272,StringGreaterThanOrEqual
code-creation,Builtin,3,1909,0x1c7fadf101a0,1052,StringIndexOf
code-creation,Builtin,3,1913,0x1c7fadf10600,272,StringLessThan
code-creation,Builtin,3,1917,0x1c7fadf10760,272,StringLessThanOrEqual
code-creation,Builtin,3,1922,0x1c7fadf108c0,190,StringRepeat
