v8-version,6,2,414,78,0
shared-library,"/home/maumercado/.nvm/versions/node/v8.17.0/bin/node",0x00400000,0x01f73000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libc-2.31.so",0x7f00fdc5e000,0x7f00fddd6000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libpthread-2.31.so",0x7f00fde34000,0x7f00fde45000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7f00fde53000,0x7f00fde65000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libm-2.31.so",0x7f00fde7a000,0x7f00fdf21000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28",0x7f00fe050000,0x7f00fe140000,0
shared-library,"/usr/lib/x86_64-linux-gnu/librt-2.31.so",0x7f00fe19e000,0x7f00fe1a2000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libdl-2.31.so",0x7f00fe1a7000,0x7f00fe1a9000,0
shared-library,"/usr/lib/x86_64-linux-gnu/ld-2.31.so",0x7f00fe1b6000,0x7f00fe1d9000,0
shared-library,"[vdso]",0x7fff10d9a000,0x7fff10d9b000,0
profiler,"begin",1000
tick,0x7f00fde403f4,702,0,0x0,4
tick,0x106a4df,1713,0,0x0,4
tick,0x106b5c2,2785,0,0x0,4
code-creation,Stub,3,3138,0x93223584060,234,"JSEntryStub"
code-creation,Builtin,5,3145,0x932235841c0,128,"JSEntryTrampoline"
code-creation,Stub,3,3146,0x932235842a0,286,"CEntryStub"
code-creation,Builtin,5,3147,0x93223584420,123,"Call_ReceiverIsAny"
code-creation,Builtin,5,3148,0x93223584500,295,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,3149,0x932235846a0,351,"ToObject"
code-creation,Stub,3,3151,0x93223584860,2084,"RecordWriteStub"
code-creation,Stub,3,3152,0x93223585100,292,"StoreBufferOverflowStub"
code-creation,Builtin,5,3153,0x932235852a0,239,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,3154,0x93223585400,139,"CallBoundFunction"
code-creation,Builtin,5,3155,0x93223585500,548,"CallProxy"
code-creation,Stub,3,3156,0x932235857a0,1693,"GetPropertyStub"
code-creation,Builtin,5,3157,0x93223585ea0,270,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,3158,0x93223586020,234,"JSEntryStub"
code-creation,Builtin,5,3159,0x93223586180,128,"JSConstructEntryTrampoline"
code-creation,Builtin,5,3160,0x93223586260,77,"Construct"
code-creation,Builtin,5,3161,0x93223586320,18,"ConstructFunction"
code-creation,Builtin,5,3162,0x932235863a0,139,"ConstructBoundFunction"
code-creation,Builtin,5,3163,0x932235864a0,624,"ConstructProxy"
code-creation,Builtin,5,3164,0x93223586780,43,"ConstructedNonConstructable"
code-creation,Builtin,5,3165,0x93223586820,15,"EmptyFunction"
code-creation,Builtin,5,3166,0x932235868a0,28,"AdaptorWithBuiltinExitFrame"
code-creation,Stub,3,3167,0x93223586920,286,"CEntryStub"
code-creation,Builtin,5,3168,0x93223586aa0,615,"CompileLazy"
code-creation,Stub,3,3169,0x93223586d80,440,"RecordWriteStub"
code-creation,Stub,3,3170,0x93223586fa0,1192,"RecordWriteStub"
code-creation,Stub,3,3171,0x932235874c0,72,"StoreBufferOverflowStub"
code-creation,Stub,3,3172,0x93223587580,1220,"RecordWriteStub"
code-creation,Builtin,5,3173,0x93223587ac0,277,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,3174,0x93223587c40,925,"FastNewObject"
code-creation,Stub,3,3175,0x93223588040,2141,"RecordWriteStub"
code-creation,Handler,4,3176,0x93223588900,164,"An IC handler from the snapshot"
code-creation,Stub,3,3177,0x93223588a20,87,"DoubleToIStub"
code-creation,Stub,3,3178,0x93223588ae0,93,"DoubleToIStub"
code-creation,Stub,3,3178,0x93223588ba0,469,"CEntryStub"
code-creation,Stub,3,3179,0x93223588de0,2088,"RecordWriteStub"
code-creation,Stub,3,3180,0x93223589680,2072,"RecordWriteStub"
code-creation,Stub,3,3181,0x93223589f00,2084,"RecordWriteStub"
code-creation,Stub,3,3182,0x9322358a7a0,2119,"RecordWriteStub"
code-creation,Stub,3,3183,0x9322358b060,2099,"RecordWriteStub"
code-creation,Stub,3,3184,0x9322358b900,2088,"RecordWriteStub"
code-creation,Stub,3,3185,0x9322358c1a0,1688,"StringAddStub"
code-creation,Stub,3,3186,0x9322358c8a0,890,"RecordWriteStub"
code-creation,Stub,3,3187,0x9322358cc80,2134,"RecordWriteStub"
code-creation,Stub,3,3188,0x9322358d540,2103,"RecordWriteStub"
code-creation,Stub,3,3189,0x9322358dde0,882,"RecordWriteStub"
code-creation,Stub,3,3190,0x9322358e1c0,2088,"RecordWriteStub"
code-creation,Stub,3,3191,0x9322358ea60,2088,"RecordWriteStub"
code-creation,Stub,3,3226,0x9322358f300,2126,"RecordWriteStub"
code-creation,Stub,3,3227,0x9322358fbc0,1250,"RecordWriteStub"
code-creation,Stub,3,3228,0x93223590120,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3229,0x93223590260,2100,"RecordWriteStub"
code-creation,Stub,3,3230,0x93223590b00,2075,"RecordWriteStub"
code-creation,Stub,3,3231,0x93223591380,367,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,3232,0x93223591560,2075,"RecordWriteStub"
code-creation,Stub,3,3233,0x93223591de0,2100,"RecordWriteStub"
code-creation,Stub,3,3234,0x93223592680,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3235,0x93223592860,180,"An IC handler from the snapshot"
code-creation,Stub,3,3236,0x93223592980,2072,"RecordWriteStub"
code-creation,Handler,4,3237,0x93223593200,180,"An IC handler from the snapshot"
code-creation,Stub,3,3238,0x93223593320,876,"RecordWriteStub"
code-creation,Stub,3,3239,0x93223593700,2122,"RecordWriteStub"
code-creation,Stub,3,3240,0x93223593fc0,884,"RecordWriteStub"
code-creation,Stub,3,3240,0x932235943a0,87,"DoubleToIStub"
code-creation,Stub,3,3241,0x93223594460,2097,"RecordWriteStub"
code-creation,Stub,3,3242,0x93223594d00,2088,"RecordWriteStub"
code-creation,Stub,3,3243,0x932235955a0,2103,"RecordWriteStub"
code-creation,Stub,3,3244,0x93223595e40,2088,"RecordWriteStub"
code-creation,Stub,3,3245,0x932235966e0,884,"RecordWriteStub"
code-creation,Stub,3,3246,0x93223596ac0,884,"RecordWriteStub"
code-creation,Stub,3,3247,0x93223596ea0,2109,"RecordWriteStub"
code-creation,Stub,3,3248,0x93223597740,882,"RecordWriteStub"
