v8-version,7,8,279,23,-node.39,0
shared-library,/home/maumercado/.nvm/versions/node/v12.18.2/bin/node,0x400000,0x2a7c000,0
shared-library,/usr/lib/x86_64-linux-gnu/libc-2.31.so,0x7f8591b61000,0x7f8591cfe000,0
shared-library,/usr/lib/x86_64-linux-gnu/libpthread-2.31.so,0x7f8591d53000,0x7f8591d6b000,0
shared-library,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f8591d76000,0x7f8591d8b000,0
shared-library,/usr/lib/x86_64-linux-gnu/libm-2.31.so,0x7f8591d91000,0x7f8591e47000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28,0x7f8591ee0000,0x7f8592066000,0
shared-library,/usr/lib/x86_64-linux-gnu/libdl-2.31.so,0x7f85920c1000,0x7f85920c4000,0
shared-library,/usr/lib/x86_64-linux-gnu/ld-2.31.so,0x7f85920d0000,0x7f85920f4000,0
shared-library,[vdso],0x7ffe67558000,0x7ffe67559000,0
profiler,begin,1000
tick,0x7f8591d663f4,1542,0,0x0,6
tick,0x10b61fc,1936,0,0x0,6
code-creation,Builtin,3,2588,0x134b520,1634,RecordWrite
code-creation,Builtin,3,2598,0x134bba0,457,EphemeronKeyBarrier
code-creation,Builtin,3,2603,0x134bd80,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2608,0x134bdc0,294,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2612,0x134bf00,203,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2617,0x134bfe0,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2622,0x134c100,285,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2626,0x134c220,130,CallBoundFunction
code-creation,Builtin,3,2630,0x134c2c0,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2634,0x134c340,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2639,0x134c3c0,105,Call_ReceiverIsAny
code-creation,Builtin,3,2643,0x134c440,890,CallProxy
code-creation,Builtin,3,2647,0x134c7c0,78,CallVarargs
code-creation,Builtin,3,2650,0x134c820,996,CallWithSpread
code-creation,Builtin,3,2654,0x134cc20,990,CallWithArrayLike
code-creation,Builtin,3,2659,0x134d000,103,CallForwardVarargs
code-creation,Builtin,3,2663,0x134d080,103,CallFunctionForwardVarargs
code-creation,Builtin,3,2667,0x134d100,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,2672,0x134d1a0,273,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,2676,0x134d2c0,382,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,2682,0x134d440,26,ConstructFunction
code-creation,Builtin,3,2686,0x134d460,130,ConstructBoundFunction
code-creation,Builtin,3,2690,0x134d500,28,ConstructedNonConstructable
code-creation,Builtin,3,2694,0x134d520,86,Construct
code-creation,Builtin,3,2698,0x134d580,78,ConstructVarargs
code-creation,Builtin,3,2702,0x134d5e0,1020,ConstructWithSpread
code-creation,Builtin,3,2706,0x134d9e0,1076,ConstructWithArrayLike
code-creation,Builtin,3,2710,0x134de20,142,ConstructForwardVarargs
code-creation,Builtin,3,2714,0x134dec0,142,ConstructFunctionForwardVarargs
code-creation,Builtin,3,2719,0x134df60,328,JSConstructStubGeneric
code-creation,Builtin,3,2723,0x134e0c0,244,JSBuiltinsConstructStub
code-creation,Builtin,3,2727,0x134e1c0,943,FastNewObject
code-creation,Builtin,3,2731,0x134e580,301,FastNewClosure
code-creation,Builtin,3,2735,0x134e6c0,213,FastNewFunctionContextEval
code-creation,Builtin,3,2739,0x134e7a0,213,FastNewFunctionContextFunction
code-creation,Builtin,3,2743,0x134e880,258,CreateRegExpLiteral
code-creation,Builtin,3,2747,0x134e9a0,586,CreateEmptyArrayLiteral
code-creation,Builtin,3,2752,0x134ec00,1188,CreateShallowArrayLiteral
code-creation,Builtin,3,2756,0x134f0c0,1718,CreateShallowObjectLiteral
code-creation,Builtin,3,2760,0x134f780,866,ConstructProxy
code-creation,Builtin,3,2764,0x134fb00,188,JSEntry
code-creation,Builtin,3,2767,0x134fbc0,188,JSConstructEntry
code-creation,Builtin,3,2771,0x134fc80,188,JSRunMicrotasksEntry
code-creation,Builtin,3,2775,0x134fd40,98,JSEntryTrampoline
code-creation,Builtin,3,2779,0x134fdc0,98,JSConstructEntryTrampoline
code-creation,Builtin,3,2783,0x134fe40,310,ResumeGeneratorTrampoline
code-creation,Builtin,3,2787,0x134ff80,721,StringCharAt
code-creation,Builtin,3,2791,0x1350260,890,StringCodePointAt
code-creation,Builtin,3,2795,0x13505e0,1433,StringFromCodePointAt
code-creation,Builtin,3,2810,0x1350b80,580,StringEqual
code-creation,Builtin,3,2814,0x1350de0,288,StringGreaterThan
code-creation,Builtin,3,2818,0x1350f20,288,StringGreaterThanOrEqual
code-creation,Builtin,3,2822,0x1351060,1234,StringIndexOf
code-creation,Builtin,3,2826,0x1351540,288,StringLessThan
code-creation,Builtin,3,2830,0x1351680,288,StringLessThanOrEqual
code-creation,Builtin,3,2834,0x13517c0,3376,StringSubstring
code-creation,Builtin,3,2838,0x1352500,120,OrderedHashTableHealIndex
code-creation,Builtin,3,2842,0x1352580,851,InterpreterEntryTrampoline
code-creation,Builtin,3,2846,0x13528e0,82,InterpreterPushArgsThenCall
code-creation,Builtin,3,2851,0x1352940,88,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,2855,0x13529a0,85,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,2860,0x1352a00,81,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,2865,0x1352a60,81,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,2869,0x1352ac0,84,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,2874,0x1352b20,197,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,2879,0x1352c00,82,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,2883,0x1352c60,63,InterpreterOnStackReplacement
code-creation,Builtin,3,2887,0x1352ca0,1101,CompileLazy
code-creation,Builtin,3,2891,0x1353100,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,2895,0x1353160,177,InstantiateAsmJs
code-creation,Builtin,3,2899,0x1353220,32,NotifyDeoptimized
code-creation,Builtin,3,2903,0x1353260,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2907,0x13532a0,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2912,0x13532e0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2916,0x1353320,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2920,0x1353380,287,CallApiCallback
code-creation,Builtin,3,2924,0x13534a0,269,CallApiGetter
code-creation,Builtin,3,2928,0x13535c0,12,HandleApiCall
code-creation,Builtin,3,2932,0x13535e0,12,HandleApiCallAsFunction
code-creation,Builtin,3,2936,0x1353600,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2940,0x1353620,92,AllocateInYoungGeneration
code-creation,Builtin,3,2944,0x1353680,80,AllocateRegularInYoungGeneration
code-creation,Builtin,3,2949,0x13536e0,92,AllocateInOldGeneration
code-creation,Builtin,3,2953,0x1353740,80,AllocateRegularInOldGeneration
code-creation,Builtin,3,2957,0x13537a0,498,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2961,0x13539a0,583,GrowFastDoubleElements
code-creation,Builtin,3,2965,0x1353c00,478,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2969,0x1353de0,453,NewArgumentsElements
code-creation,Builtin,3,2974,0x1353fc0,496,DebugBreakTrampoline
code-creation,Builtin,3,2978,0x13541c0,141,FrameDropperTrampoline
code-creation,Builtin,3,2982,0x1354260,45,HandleDebuggerStatement
code-creation,Builtin,3,2986,0x13542a0,282,ToObject
code-creation,Builtin,3,2989,0x13543c0,104,ToBoolean
code-creation,Builtin,3,3006,0x1354440,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,3013,0x1354560,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,3019,0x1354680,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,3026,0x1354760,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,3032,0x1354840,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,3039,0x1354920,85,StringToNumber
code-creation,Builtin,3,3045,0x1354980,129,ToName
code-creation,Builtin,3,3051,0x1354a20,243,NonNumberToNumber
code-creation,Builtin,3,3057,0x1354b20,259,NonNumberToNumeric
code-creation,Builtin,3,3063,0x1354c40,235,ToNumber
code-creation,Builtin,3,3069,0x1354d40,272,ToNumberConvertBigInt
code-creation,Builtin,3,3075,0x1354e60,275,ToNumeric
code-creation,Builtin,3,3081,0x1354f80,261,NumberToString
code-creation,Builtin,3,3087,0x13550a0,466,ToInteger
code-creation,Builtin,3,3093,0x1355280,478,ToInteger_TruncateMinusZero
code-creation,Builtin,3,3099,0x1355460,394,ToLength
code-creation,Builtin,3,3105,0x1355600,140,Typeof
code-creation,Builtin,3,3111,0x13556a0,69,GetSuperConstructor
code-creation,Builtin,3,3124,0x1355700,133,BigIntToI64
code-creation,Builtin,3,3131,0x13557a0,12,BigIntToI32Pair
code-creation,Builtin,3,3137,0x13557c0,285,I64ToBigInt
code-creation,Builtin,3,3143,0x13558e0,12,I32PairToBigInt
code-creation,Builtin,3,3149,0x1355900,112,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,3156,0x1355980,2585,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,3162,0x13563a0,36,KeyedLoadIC_Slow
code-creation,Builtin,3,3168,0x13563e0,16522,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,3175,0x135a480,40,KeyedStoreIC_Slow
code-creation,Builtin,3,3181,0x135a4c0,40,LoadGlobalIC_Slow
code-creation,Builtin,3,3187,0x135a500,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,3193,0x135a560,36,LoadIC_Slow
code-creation,Builtin,3,3199,0x135a5a0,20,LoadIC_StringLength
code-creation,Builtin,3,3205,0x135a5c0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,3212,0x135a5e0,2940,LoadIC_NoFeedback
code-creation,Builtin,3,3218,0x135b160,40,StoreGlobalIC_Slow
code-creation,Builtin,3,3224,0x135b1a0,6704,StoreIC_NoFeedback
code-creation,Builtin,3,3230,0x135cbe0,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,3237,0x135cc20,368,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,3243,0x135cda0,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,3249,0x135ce00,40,StoreInterceptorIC
code-creation,Builtin,3,3255,0x135ce40,536,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,3263,0x135d060,536,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,3271,0x135d280,536,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,3283,0x135d4a0,536,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,3288,0x135d6c0,40,StoreInArrayLiteralIC_Slow_Standard
code-creation,Builtin,3,3293,0x135d700,5784,StoreFastElementIC_Standard
code-creation,Builtin,3,3297,0x135eda0,6716,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,3302,0x13607e0,5776,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,3307,0x1361e80,3220,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,3311,0x1362b20,40,StoreInArrayLiteralIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,3317,0x1362b60,40,StoreInArrayLiteralIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,3321,0x1362ba0,40,StoreInArrayLiteralIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,3326,0x1362be0,40,KeyedStoreIC_Slow_Standard
code-creation,Builtin,3,3331,0x1362c20,40,KeyedStoreIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,3335,0x1362c60,40,KeyedStoreIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,3340,0x1362ca0,40,KeyedStoreIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,3345,0x1362ce0,9184,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,3351,0x13650e0,18756,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,3358,0x1369a40,9184,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,3365,0x136be40,12032,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,3371,0x136ed60,764,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,3377,0x136f060,328,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,3383,0x136f1c0,80,HasIndexedInterceptorIC
code-creation,Builtin,3,3389,0x136f220,36,HasIC_Slow
code-creation,Builtin,3,3395,0x136f260,181,EnqueueMicrotask
code-creation,Builtin,3,3400,0x136f320,8,RunMicrotasksTrampoline
code-creation,Builtin,3,3406,0x136f340,2012,RunMicrotasks
code-creation,Builtin,3,3412,0x136fb20,2182,HasProperty
code-creation,Builtin,3,3417,0x13703c0,1364,DeleteProperty
code-creation,Builtin,3,3423,0x1370920,1912,CopyDataProperties
code-creation,Builtin,3,3429,0x13710a0,8607,SetDataProperties
code-creation,Builtin,3,3434,0x1373240,36,Abort
code-creation,Builtin,3,3440,0x1373280,36,AbortCSAAssert
code-creation,Builtin,3,3445,0x13732c0,12,EmptyFunction
code-creation,Builtin,3,3451,0x13732e0,12,Illegal
code-creation,Builtin,3,3456,0x1373300,12,StrictPoisonPillThrower
code-creation,Builtin,3,3462,0x1373320,12,UnsupportedThrower
code-creation,Builtin,3,3471,0x1373340,65,ReturnReceiver
code-creation,Builtin,3,3477,0x13733a0,36,ArrayConstructor
code-creation,Builtin,3,3483,0x13733e0,413,ArrayConstructorImpl
code-creation,Builtin,3,3489,0x1373580,233,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,3779,0x1373680,233,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,3785,0x1373780,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,3791,0x1373860,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,3796,0x1373940,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,3802,0x1373a20,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,3807,0x1373b00,209,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,3813,0x1373be0,209,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,3818,0x1373cc0,313,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,3824,0x1373e00,533,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,3829,0x1374020,249,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,3834,0x1374120,413,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,3840,0x13742c0,249,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
