v8-version,8,4,371,19,-node.12,0
shared-library,/home/maumercado/.nvm/versions/node/v14.7.0/bin/node,0x400000,0x4219000,0
shared-library,/usr/lib/x86_64-linux-gnu/libc-2.31.so,0x7f8280b84000,0x7f8280d21000,0
shared-library,/usr/lib/x86_64-linux-gnu/libpthread-2.31.so,0x7f8280d76000,0x7f8280d8e000,0
shared-library,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f8280d99000,0x7f8280dae000,0
shared-library,/usr/lib/x86_64-linux-gnu/libm-2.31.so,0x7f8280db4000,0x7f8280e6a000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28,0x7f8280f03000,0x7f8281089000,0
shared-library,/usr/lib/x86_64-linux-gnu/libdl-2.31.so,0x7f82810e4000,0x7f82810e7000,0
shared-library,/usr/lib/x86_64-linux-gnu/ld-2.31.so,0x7f82810f3000,0x7f8281117000,0
shared-library,[vdso],0x7fff71fe1000,0x7fff71fe2000,0
profiler,begin,1000
tick,0x7f8280c1f8bc,1352,0,0x0,6
code-creation,Builtin,3,2381,0x135f280,1632,RecordWrite
code-creation,Builtin,3,2402,0x135f900,424,EphemeronKeyBarrier
code-creation,Builtin,3,2410,0x135fac0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2417,0x135fb00,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2423,0x135fc40,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2431,0x135fd20,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2438,0x135fe40,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2444,0x135ff80,127,CallBoundFunction
code-creation,Builtin,3,2451,0x1360000,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2458,0x1360080,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2464,0x1360100,109,Call_ReceiverIsAny
code-creation,Builtin,3,2471,0x1360180,866,CallProxy
code-creation,Builtin,3,2477,0x1360500,75,CallVarargs
code-creation,Builtin,3,2483,0x1360560,1056,CallWithSpread
code-creation,Builtin,3,2493,0x13609a0,926,CallWithArrayLike
code-creation,Builtin,3,2499,0x1360d40,100,CallForwardVarargs
code-creation,Builtin,3,2506,0x1360dc0,100,CallFunctionForwardVarargs
code-creation,Builtin,3,2513,0x1360e40,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,2519,0x1360ee0,245,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,2527,0x1360fe0,350,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
tick,0x7f8281036781,2534,0,0x0,6
code-creation,Builtin,3,3947,0x1361140,26,ConstructFunction
code-creation,Builtin,3,3961,0x1361160,127,ConstructBoundFunction
code-creation,Builtin,3,3968,0x13611e0,28,ConstructedNonConstructable
code-creation,Builtin,3,3975,0x1361200,90,Construct
code-creation,Builtin,3,3981,0x1361260,75,ConstructVarargs
code-creation,Builtin,3,3988,0x13612c0,1084,ConstructWithSpread
code-creation,Builtin,3,3994,0x1361700,1000,ConstructWithArrayLike
code-creation,Builtin,3,4001,0x1361b00,139,ConstructForwardVarargs
code-creation,Builtin,3,4007,0x1361ba0,139,ConstructFunctionForwardVarargs
code-creation,Builtin,3,4014,0x1361c40,328,JSConstructStubGeneric
code-creation,Builtin,3,4021,0x1361da0,241,JSBuiltinsConstructStub
code-creation,Builtin,3,4027,0x1361ea0,735,FastNewObject
code-creation,Builtin,3,4033,0x1362180,305,FastNewClosure
code-creation,Builtin,3,4040,0x13622c0,209,FastNewFunctionContextEval
code-creation,Builtin,3,4046,0x13623a0,209,FastNewFunctionContextFunction
code-creation,Builtin,3,4053,0x1362480,238,CreateRegExpLiteral
code-creation,Builtin,3,4060,0x1362580,554,CreateEmptyArrayLiteral
code-creation,Builtin,3,4066,0x13627c0,1140,CreateShallowArrayLiteral
code-creation,Builtin,3,4073,0x1362c40,1856,CreateShallowObjectLiteral
code-creation,Builtin,3,4079,0x13633a0,854,ConstructProxy
code-creation,Builtin,3,4085,0x1363700,188,JSEntry
code-creation,Builtin,3,4091,0x13637c0,188,JSConstructEntry
code-creation,Builtin,3,4097,0x1363880,188,JSRunMicrotasksEntry
code-creation,Builtin,3,4104,0x1363940,95,JSEntryTrampoline
code-creation,Builtin,3,4110,0x13639a0,95,JSConstructEntryTrampoline
code-creation,Builtin,3,4117,0x1363a00,307,ResumeGeneratorTrampoline
code-creation,Builtin,3,4123,0x1363b40,1112,StringCodePointAt
code-creation,Builtin,3,4129,0x1363fa0,1615,StringFromCodePointAt
code-creation,Builtin,3,4136,0x1364600,552,StringEqual
code-creation,Builtin,3,4152,0x1364840,284,StringGreaterThan
code-creation,Builtin,3,4159,0x1364960,284,StringGreaterThanOrEqual
code-creation,Builtin,3,4166,0x1364a80,1077,StringIndexOf
code-creation,Builtin,3,4172,0x1364ec0,284,StringLessThan
code-creation,Builtin,3,4178,0x1364fe0,284,StringLessThanOrEqual
code-creation,Builtin,3,4184,0x1365100,2627,StringSubstring
code-creation,Builtin,3,4191,0x1365b60,92,OrderedHashTableHealIndex
